Algoritmo	Entradas	Rˆ2	Rˆ2	MSE crossvalidation
MLR	x1_x2_x3	-23.666976	0.081468	0.001919 +/- 0.000181
MLR	x1_x2_x3_x4_x5_x6	-19.674668	0.072316	0.001923 +/- 0.0002
MLR	x1_x3_x4_x6	-20.341723	0.068266	0.001931 +/- 0.000188
MLR	x2_x3_x5	-17.104194	0.06478	0.001919 +/- 0.000132
MLR	x1_x2_x3_x4_x6	-20.342757	0.064231	0.001927 +/- 0.000207
MLR	x1_x2_x4	-36.655487	0.060564	0.001943 +/- 0.000213
MLR	x1_x2_x3_x5_x6	-16.838542	0.05907	0.001916 +/- 0.000182
MLR	x3_x4_x5	-22.478465	0.058206	0.001923 +/- 0.00014
MLR	x1_x3	-19.27281	0.056528	0.001923 +/- 0.000175
MLR	x1_x2_x4_x6	-36.981698	0.053265	0.001946 +/- 0.000229
MLR	x2_x3_x5_x6	-23.960044	0.052629	0.001922 +/- 0.000138
MLR	x3_x4	-29.407149	0.051207	0.001941 +/- 0.000131
MLR	x1_x2_x5	-26.425866	0.050047	0.001935 +/- 0.000189
MLR	x1_x2_x3_x4_x5	-17.804084	0.04454	0.00192 +/- 0.000184
MLR	x2_x3_x4_x5_x6	-17.727258	0.044436	0.001921 +/- 0.000138
MLR	x2_x3_x4_x5	-23.184242	0.043951	0.001917 +/- 0.00013
MLR	x1_x2_x3_x5	-21.246075	0.043907	0.001913 +/- 0.000167
MLR	x1_x3_x4_x5_x6	-24.004083	0.04235	0.001929 +/- 0.000182
MLR	x1_x3_x4_x5	-18.399069	0.039808	0.001925 +/- 0.000176
MLR	x3_x4_x5_x6	-27.494881	0.037699	0.001928 +/- 0.000144
MLR	x1_x2	-37.346776	0.036289	0.001937 +/- 0.000203
MLR	x3_x5	-25.236207	0.035844	0.001924 +/- 0.000141
MLR	x3_x5_x6	-25.011322	0.034189	0.001928 +/- 0.000144
MLR	x1_x2_x3_x6	-15.956443	0.034043	0.00192 +/- 0.000194
MLR	x1_x3_x6	-20.909645	0.029012	0.001925 +/- 0.000178
MLR	x1_x3_x4	-20.230381	0.028809	0.001928 +/- 0.000183
MLR	x1_x6	-46.755687	0.028117	0.001958 +/- 0.000192
MLR	x2_x3_x4_x6	-24.522121	0.028063	0.001945 +/- 0.000138
MLR	x1_x2_x3_x4	-21.656052	0.025927	0.001926 +/- 0.000191
MLR	x2_x4_x5	-35.085255	0.025726	0.001948 +/- 0.000132
MLR	x1_x2_x6	-36.640729	0.025487	0.00194 +/- 0.000216
MLR	x1_x2_x4_x5_x6	-23.463713	0.024523	0.001944 +/- 0.00022
MLR	x2_x4_x5_x6	-37.176772	0.024028	0.001952 +/- 0.000137
MLR	x1_x2_x4_x5	-19.35292	0.021594	0.001941 +/- 0.000204
MLR	x1_x3_x5_x6	-19.272203	0.020299	0.001924 +/- 0.00017
MLR	x3	-52.542066	0.019739	0.001962 +/- 0.000142
MLR	x1_x5	-45.110862	0.019095	0.001954 +/- 0.000185
MLR	x3_x4_x6	-23.084147	0.017555	0.001944 +/- 0.00014
MLR	x1_x5_x6	-49.319609	0.01731	0.001959 +/- 0.000189
MLR	x1_x4	-48.432596	0.0168	0.001957 +/- 0.000196
MLR	x2_x4_x6	-71.350672	0.016651	0.001973 +/- 0.000153
MLR	x2_x3_x6	-33.919879	0.016565	0.001963 +/- 0.000152
MLR	x4	-82.402793	0.016446	0.001973 +/- 0.000153
MLR	x3_x6	-35.679378	0.016361	0.00196 +/- 0.000151
MLR	x1_x4_x5_x6	-50.861797	0.015289	0.001963 +/- 0.000198
MLR	x4_x6	-83.080883	0.014191	0.001979 +/- 0.000159
MLR	x2_x3_x4	-36.90774	0.01382	0.001943 +/- 0.000131
MLR	x2_x3	-45.505371	0.013627	0.001963 +/- 0.000148
MLR	x5	-70.708344	0.013257	0.001966 +/- 0.000155
MLR	x1	-52.610148	0.012964	0.001953 +/- 0.000188
MLR	x2_x4	-78.046068	0.012566	0.001969 +/- 0.000145
MLR	x1_x3_x5	-19.238196	0.011262	0.00192 +/- 0.000165
MLR	x1_x4_x6	-48.937204	0.01121	0.001962 +/- 0.0002
MLR	x1_x4_x5	-45.944562	0.010966	0.001958 +/- 0.000193
MLR	x2_x5_x6	-44.332694	0.008906	0.001956 +/- 0.000144
MLR	x2_x5	-40.947906	0.005571	0.001952 +/- 0.000141
MLR	x4_x5	-55.742235	0.005494	0.001964 +/- 0.000149
MLR	x1_x2_x5_x6	-21.893084	0.003559	0.001938 +/- 0.000204
MLR	x4_x5_x6	-67.672557	0.002933	0.00197 +/- 0.000151
MLR	x5_x6	-62.502337	0.002266	0.001972 +/- 0.000156
MLR	x6	-1087.477981	-0.001513	0.001995 +/- 0.000177
MLR	x2_x6	-1000.80767	-0.003526	0.001997 +/- 0.000178
MLR	x2	-13261.05246	-0.004056	0.001994 +/- 0.000171
